time,phase,grasp_lock_active,contact_force_n,inserted_depth_m,peg_x_m,peg_y_m,peg_z_m,peg_hole_xy_error_m,q1_rad,q2_rad,q3_rad,q4_rad,q5_m,q6_rad,q3_abs_rad,q4_abs_rad,q6_turns,q_tracking_error,q_tracking_error_without_q6,q34_tracking_error,q6_tracking_error_rad,q6_speed_rad_s,ctrl_joint1,ctrl_joint2,ctrl_joint3,ctrl_joint4,ctrl_joint5,ctrl_joint6
6.273999999999531,Archimedean spiral search using joint1/joint2 only,1,23.342899842605714,0.0,-0.3518928545649003,-0.6431719867217676,0.13500317524391828,0.025236543742032786,-0.03765574022022847,0.1521845086933656,0.003638261281850337,0.0003778519360270496,0.10886087615867161,-0.0003093879482568504,0.003638261281850337,0.0003778519360270496,-4.924062129813729e-05,0.0037408229555733856,0.003728006904824375,0.0036578295805806274,0.0003093879482568504,-0.0011437327403442422,-1.7787292238102956,1.0190304774302716,-11.217463990858652,-0.1281332833747544,-29.147678445738954,0.025285936814126123
6.275999999999531,Archimedean spiral search using joint1/joint2 only,1,23.33488551138029,1.4431677280574151e-06,-0.3519033264274847,-0.6431550871653201,0.13499855683227194,0.025219221379075653,-0.037602303674069505,0.1521463675954223,0.0036315024437052006,0.00037889131332581,0.10886756724723425,-0.0003116178219772284,0.0036315024437052006,0.00037889131332581,-4.9595516723206156e-05,0.0037489848156047325,0.003736011440113777,0.0036512146781517247,0.0003116178219772284,-0.0011149368601889934,-1.7908104664547062,1.015819878730659,-11.23338934175469,-0.12568349938627466,-29.39153308440828,0.02469741311345973
6.277999999999531,Archimedean spiral search using joint1/joint2 only,1,23.31178655801861,5.7895717160555416e-06,-0.35191307557980606,-0.6431336613225984,0.13499421042828394,0.02520035649420222,-0.03754935750329846,0.1521087559477184,0.0036267071463789323,0.0003800239094331794,0.10887465818008571,-0.00031380248346400593,0.0036267071463789323,0.0003800239094331794,-4.994321639780929e-05,0.0037598004628391804,0.0037466822018604054,0.003646563162395092,0.00031380248346400593,-0.0010923307433887686,-1.802612571545307,1.0105358273476268,-11.280281705891523,-0.1254838139614687,-29.75865352824351,0.0232717011444499
6.27999999999953,Archimedean spiral search using joint1/joint2 only,1,23.29702413625438,1.0365978806478604e-05,-0.35192281373439677,-0.6431124051856859,0.13498963402119352,0.02518159075174503,-0.03749688410277575,0.1520716367692693,0.0036244760863871415,0.0003811080206180207,0.1088812116846642,-0.0003161965034628125,0.0036244760863871415,0.0003811080206180207,-5.032423651448021e-05,0.0037736608114330335,0.0037603903641700966,0.003644457466368847,0.0003161965034628125,-0.0011970099994032704,-1.8156861624187777,1.0048886158817876,-11.378835018943954,-0.12817761653358548,-30.18297652381862,0.02200979753475944
6.28199999999953,Archimedean spiral search using joint1/joint2 only,1,23.28175656419449,1.4602977075936496e-05,-0.3519325079480503,-0.6430903067217311,0.13498539702292406,0.025162466534272787,-0.03744484070745825,0.15203495189036137,0.003624778906644841,0.0003822656469626094,0.1088865004095142,-0.0003185015145522055,0.003624778906644841,0.0003822656469626094,-5.069109042323874e-05,0.0037903915853565737,0.0037769862530289766,0.003644879853562407,0.0003185015145522055,-0.001152505544696506,-1.8307956485299197,1.0013062495917364,-11.50422717416261,-0.12497526513261799,-30.623530160340078,0.025185685651007997
6.28399999999953,Archimedean spiral search using joint1/joint2 only,1,23.2642173079442,1.7739087973631107e-05,-0.35194201962565735,-0.6430675995514912,0.13498226091202636,0.025143218909480052,-0.03739316447273751,0.15199864848447392,0.0036275889984677162,0.0003833107599396039,0.10888992419599043,-0.00032082517362290073,0.0036275889984677162,0.0003833107599396039,-5.106091225040021e-05,0.0038099242053378063,0.0037963921897492033,0.003647784132934607,0.00032082517362290073,-0.0011618295353476226,-1.8468933911626555,0.9992064732194564,-11.628033613103222,-0.12705031563691793,-31.031080166176082,0.02332584833914892
6.28599999999953,Archimedean spiral search using joint1/joint2 only,1,23.266538851135238,2.0476336387006966e-05,-0.35195186926487326,-0.643046313016028,0.134979523663613,0.02512436518985834,-0.0373417726235794,0.15196262380897688,0.0036321844516516186,0.0003843417006189036,0.10889136329098503,-0.00032318347893224537,0.0036321844516516186,0.0003843417006189036,-5.1436248197702266e-05,0.0038316444446234955,0.003817990517138478,0.0036524625163927966,0.00032318347893224537,-0.001179152654672313,-1.8656562220518524,0.9974996395290446,-11.748519426259701,-0.12108267105243259,-31.33759287342014,0.023262491386366296
6.2879999999995295,Archimedean spiral search using joint1/joint2 only,1,23.261524311611716,2.0706828536123933e-05,-0.3519613215503105,-0.6430223693991868,0.13497929317146387,0.025104595471333736,-0.037290617498608646,0.1519268145067787,0.00363764922170018,0.000385419142518887,0.1088907358618841,-0.00032550235225507404,0.00363764922170018,0.000385419142518887,-5.180530834943438e-05,0.0038548690702593863,0.0038411018949669738,0.0036580103574970807,0.00032550235225507404,-0.0011594366614143233,-1.8832876144592086,0.9987080440775506,-11.833892621992884,-0.11933927258639306,-31.478397619599242,0.023554487875329405
6.289999999999529,Archimedean spiral search using joint1/joint2 only,1,23.270064945039227,1.9312626011694367e-05,-0.3519711157843536,-0.6430002026382557,0.1349806873739883,0.025085386246688646,-0.0372390113906237,0.15189027648936043,0.003648915716897521,0.0003856090836780631,0.10888594881251625,-0.0003273321057290861,0.003648915716897521,0.0003856090836780631,-5.209652265946296e-05,0.0036843526544475635,0.0036697831236864355,0.00366923428993527,0.0003273321057290861,-0.0009148767370060206,-1.5503660729487452,0.8844300425108589,-11.829836002643729,-0.15579376960961372,-32.47548081324929,0.03469037632602666
6.291999999999529,Archimedean spiral search using joint1/joint2 only,1,23.271637999381667,1.5522939096110355e-05,-0.35198050508035356,-0.6429743568433816,0.13498447706090388,0.0250647836282098,-0.037186710867693616,0.1518528252574768,0.0036561115569125804,0.00038586078150319123,0.10887984271184684,-0.00032898450131479094,0.0036561115569125804,0.00038586078150319123,-5.235950958487112e-05,0.003693343850827951,0.003678662528466467,0.0036764167689874315,0.00032898450131479094,-0.0008261977928524203,-1.6040119348700934,0.9156835318597278,-12.075197396326105,-0.11795338293927356,-31.968783253423148,0.02700042545147809
